mjd,c,cerr,o,oerr
57983,18.29125,1.214,17.29425,1.214
57983.23125,18.7555,0.1635,17.7585,0.1635
57983.42,17.88866667,0.9505,16.89166667,0.9505
57983.75833,18.027,0.566,17.03,0.566
57983.96875,18.79375,0.739,17.79675,0.739
57984.04811,NULL,NULL,NULL,NULL
57984.23125,19.3305,0.1085,18.3335,0.1085
57984.37,19.13533333,0.4905,18.13833333,0.4905
57984.76111,19.58625,0.314,18.58925,0.314
57984.96892,19.83875,0.194,18.84175,0.194
57985.23125,19.8805,0.0885,18.8835,0.0885
57985.38,19.952,0.101,18.955,0.101
57985.77639,20.19133333,0.132,19.19433333,0.132
57985.97433,20.45875,0.0795,19.46175,0.0795
57986.23556,19.759,0.3,18.762,0.3
57986.71,21.003,0.31,20.006,0.31
57986.97426,20.95375,0.252,19.95675,0.252
57987.98,21.07466667,0.332,20.07766667,0.332
57988.99,21.572,0.081,20.575,0.081
57990,22.01625,0.571,21.01925,0.571
57991,22.26133333,0.297,21.26433333,0.297
57992,22.82466667,0.0905,21.82766667,0.0905
57993,23.53466667,0.2895,22.53766667,0.2895
57993.94,23.68866667,0.1705,22.69166667,0.1705
57994.97,NULL,NULL,NULL,NULL
57995.97,23.959,0.28,22.962,0.28
57996.99,24.999,0.37,24.002,0.37
57997.979,NULL,NULL,NULL,NULL
57999.98,NULL,NULL,NULL,NULL
58000.966,NULL,NULL,NULL,NULL
58003.969,NULL,NULL,NULL,NULL
58007.969,NULL,NULL,NULL,NULL
