,mjd,c,cerr,o,oerr
0,57983.0,-14.833841565683738,1.214,-15.830841565683738,1.214
1,57983.23125,-14.369591565683738,0.1635,-15.366591565683738,0.1635
2,57983.42,-15.23642489568374,0.9505,-16.23342489568374,0.9505
3,57983.75833,-15.098091565683738,0.5660000000000001,-16.095091565683738,0.5660000000000001
4,57983.96875,-14.33134156568374,0.7390000000000001,-15.32834156568374,0.7390000000000001
5,57984.04811,,,,
6,57984.23125,-13.794591565683739,0.1085,-14.791591565683738,0.1085
7,57984.37,-13.989758235683738,0.4905,-14.986758235683741,0.4905
8,57984.76111,-13.53884156568374,0.314,-14.53584156568374,0.314
9,57984.96892000001,-13.286341565683738,0.19399999999999998,-14.283341565683738,0.19399999999999998
10,57985.23125,-13.244591565683738,0.0885,-14.241591565683738,0.0885
11,57985.38,-13.173091565683738,0.10099999999999999,-14.170091565683741,0.10099999999999999
12,57985.77639,-12.93375823568374,0.132,-13.93075823568374,0.132
13,57985.97433,-12.66634156568374,0.0795,-13.66334156568374,0.0795
14,57986.23556,-13.366091565683739,0.3,-14.363091565683739,0.3
15,57986.71,-12.12209156568374,0.31,-13.119091565683739,0.31
16,57986.97426,-12.17134156568374,0.252,-13.16834156568374,0.252
17,57987.98,-12.05042489568374,0.332,-13.04742489568374,0.332
18,57988.99,-11.55309156568374,0.081,-12.55009156568374,0.081
19,57990.0,-11.10884156568374,0.5710000000000001,-12.10584156568374,0.5710000000000001
20,57991.0,-10.86375823568374,0.297,-11.86075823568374,0.297
21,57992.0,-10.30042489568374,0.0905,-11.29742489568374,0.0905
22,57993.0,-9.59042489568374,0.2895,-10.58742489568374,0.2895
23,57993.94,-9.43642489568374,0.1705,-10.43342489568374,0.1705
24,57994.97,,,,
25,57995.97,-9.16609156568374,0.28,-10.16309156568374,0.28
26,57996.99,-8.126091565683737,0.37,-9.12309156568374,0.37
27,57997.97900000001,,,,
28,57999.98,,,,
29,58000.96599999999,,,,
30,58003.969000000005,,,,
31,58007.969000000005,,,,
