number,redshift,ra,dec,expl_epoch,detected
0,0.019396,288.830966,-29.351542,58486.955041,False
1,0.021425,84.891099,52.023000,58641.575541,False
2,0.020897,49.613380,-18.468923,58401.758659,False
3,0.019784,80.752014,-14.943564,58586.482892,False
4,0.024976,52.220246,-10.672306,58981.349700,False
5,0.023762,203.554924,75.321504,58294.961150,False
6,0.021101,265.494519,0.040535,57864.684929,False
7,0.018115,319.685088,-24.289316,58719.870687,False
8,0.024952,183.495067,74.912934,58264.801594,False
9,0.022422,66.361550,-18.361348,58048.408525,True
10,0.013837,246.340049,-18.702167,58971.070525,False
11,0.022011,321.415769,-12.681033,58610.121108,False
12,0.019024,219.913816,-18.336544,58299.669679,False
13,0.016515,151.048981,-34.281108,57458.527541,False
14,0.020053,309.474411,-2.979380,58844.135486,False
15,0.006205,67.430801,35.486441,57465.100301,False
16,0.017032,69.151344,-3.550845,57689.307462,False
17,0.010135,187.785085,16.921585,58907.116011,False
18,0.020239,103.531151,-38.722130,57958.708418,False
19,0.013723,327.976745,-20.894544,57778.344422,False
20,0.019231,191.712402,13.558555,57877.424058,False
21,0.018254,70.824943,31.315806,58078.565021,False
22,0.020324,8.479232,75.835354,58426.941574,False
23,0.012410,183.940765,78.521045,58426.879337,False
24,0.011353,236.739713,4.907257,58949.881733,True
25,0.012004,262.093287,70.288042,58112.260501,False
26,0.006789,212.405648,25.774093,58903.893623,True
27,0.024814,304.504822,-4.486535,58909.331768,False
28,0.012302,130.332604,28.211115,58989.122247,False
29,0.023652,310.917637,23.994797,58511.158098,False
30,0.015998,105.182966,-23.186686,57756.537553,False
31,0.022257,343.192814,-28.954849,58992.272688,False
32,0.019546,293.099649,-13.240672,57937.478272,False
33,0.024753,256.849392,-2.051073,57802.844825,False
34,0.020542,22.127807,68.844162,58341.114833,False
35,0.020066,249.670148,-10.819120,58828.530280,False
36,0.021341,305.272845,40.762849,58695.937705,False
37,0.011325,123.619692,10.367622,57562.682398,False
38,0.021927,118.192079,-35.245426,58353.050233,False
39,0.019659,300.241410,2.190078,57911.496668,False
40,0.018567,11.922807,79.121471,58018.223198,False
41,0.021044,326.450858,75.173206,58064.553362,False
42,0.011240,310.840189,37.274260,57383.828996,False
43,0.017160,238.442072,30.134349,57780.797863,False
44,0.011395,202.498182,9.212845,58743.109275,False
45,0.019063,197.219784,29.519545,58598.259954,True
46,0.018472,81.210510,77.470367,58396.329596,False
47,0.024633,146.804435,40.927297,57636.951990,False
48,0.016693,127.366833,67.641610,58305.351740,False
49,0.005049,347.537697,-2.113376,58924.395159,False
50,0.020639,23.245664,3.816678,57524.829991,False
51,0.022708,358.999317,25.319156,58290.051192,False
52,0.022169,316.334272,-22.653772,58529.783351,False
53,0.016734,26.971050,71.533798,58429.886730,False
54,0.023106,319.991907,6.092483,57462.848094,False
55,0.020896,60.688866,-37.896612,58790.821437,False
56,0.003104,186.308780,14.280462,57912.872101,True
57,0.024197,47.007265,-4.121512,58212.925092,False
58,0.018607,165.327630,-21.664062,57778.908392,True
59,0.017876,318.414967,-36.014669,58446.333288,False
60,0.018806,119.810178,46.364916,58339.072675,False
61,0.023746,34.197413,41.629986,59011.757677,False
62,0.023400,171.352901,36.671291,58722.542004,False
63,0.022832,330.340570,36.342294,58920.054210,False
64,0.018791,131.526756,59.908500,58388.180718,False
65,0.020874,311.974007,65.864252,58390.681106,False
66,0.020533,135.640120,68.056244,57857.454613,False
67,0.021071,103.169026,-5.599532,58855.638238,False
68,0.019281,238.012757,-16.343850,57790.800676,False
69,0.020980,86.357195,27.926263,58837.921966,False
70,0.020775,88.227079,-29.706859,57731.004171,False
71,0.008807,14.763854,-33.924303,58736.989260,True
72,0.020844,26.505519,61.940733,58413.788833,False
73,0.015216,76.530349,38.104898,58754.512380,False
74,0.019027,179.309759,-5.919350,58063.560832,False
75,0.008481,110.954004,-3.566100,58799.587333,True
76,0.016362,343.689014,12.066252,59007.621285,False
77,0.018351,22.546502,61.266128,58361.624993,False
78,0.015598,318.757356,-33.733982,58915.040647,False
79,0.007819,268.288482,-37.727939,58597.482569,False
80,0.023788,152.030559,36.940102,57663.114919,False
81,0.016372,227.392228,32.577667,57779.970939,False
82,0.022726,305.031496,-39.588913,58792.630791,False
83,0.021364,205.056325,66.683996,58047.778437,False
84,0.017296,209.093767,69.099388,57889.414534,False
85,0.023644,321.922807,-10.680257,58850.982096,False
86,0.022237,94.657678,58.725751,58204.203209,False
87,0.007903,53.760162,23.145888,57424.268580,False
88,0.014015,276.782742,58.449555,57921.599516,False
89,0.010825,41.147628,48.705174,58359.670986,True
90,0.021526,221.945246,76.900868,58798.441840,False
91,0.022865,253.319674,68.606038,58285.350480,False
92,0.024631,20.681751,-38.332284,57542.116349,False
93,0.014200,0.486259,18.814743,58322.845637,False
94,0.021241,118.920680,45.938997,58343.943180,False
95,0.019426,149.835735,-17.559400,58754.414580,False
96,0.015558,26.148913,40.880897,58744.427811,False
97,0.018493,138.488133,66.067592,58264.040650,False
98,0.023366,120.228245,-15.569892,57644.787749,False
99,0.017625,290.710086,66.673219,58429.713996,False
