expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
01a58091o0903o,58091.61549065,17.80,0.35,2.60,o,483.54,8891.61,-778.3,2990.2,85.0,90.3,34.7,2.11,175.0,180.1,4.08,3.18,1.0,3.0,197.44875,-23.3838889,22.179,-0.404,276.4736707258982,106.24182031216688,18.01,30.0
01a58091o0916o,58091.62250605,>18.14,0.00,3.0,o,454.56,8843.21,-538.8,3029.6,293.0,15.3,33.2,2.15,176.0,181.2,3.95,3.19,1.0,3.0,197.44875,-23.3838889,22.193,-0.402,44.82888682791701,97.27575442397679,18.07,30.0
01a58091o0926o,58091.62712735,>18.16,0.00,3.0,o,519.82,8914.78,1034.5,3118.4,434.0,24.9,35.2,1.78,171.5,171.9,3.81,3.08,1.0,3.0,197.44875,-23.3838889,22.201,-0.413,68.13241523144204,96.31570345970924,18.14,30.0
01a58091o0932o,58091.62988005,>18.24,0.00,3.0,o,534.12,8793.19,1880.1,3774.1,110.0,9.9,38.7,1.74,188.2,187.0,3.56,2.82,1.0,3.0,197.44875,-23.3838889,22.209,-0.43,23.367542765225593,91.34584899133642,18.25,30.0
01a58095o1005o,58095.64582645,>19.42,0.00,3.0,o,7105.17,8110.06,-429.6,976.3,197.0,-77.8,11.1,4.39,180.2,181.1,3.77,3.15,1.0,3.0,197.44875,-23.3838889,22.218,-0.405,-210.52818495892797,30.036797596967872,18.6,30.0
01a58095o1019o,58095.65233625,>19.28,0.00,3.0,o,7080.21,8057.81,-2280.8,1231.1,223.0,-68.8,14.1,5.55,180.7,185.4,3.62,2.95,1.0,3.0,197.44875,-23.3838889,22.226,-0.417,-168.03423379719132,34.437248496226715,18.55,30.0
01a58095o1021o,58095.65326555,>19.12,0.00,3.0,o,7151.24,8132.30,-2790.7,1324.2,-24.0,-171.8,16.3,4.47,189.0,188.6,3.51,3.06,1.0,3.0,197.44875,-23.3838889,22.227,-0.417,-421.6289741258117,40.003214658036846,18.51,30.0
01a58095o1037o,58095.66064615,>17.26,0.00,3.0,o,7156.76,7997.22,16072.2,7580.8,210.0,32.4,99.8,1.57,212.4,196.9,3.56,2.79,1.0,3.0,197.44875,-23.3838889,22.252,-0.425,72.38989667340766,222.97875580265696,17.73,30.0
01a58099o0990o,58099.63939555,>19.19,0.00,3.0,o,8935.08,7723.32,-672.2,1239.0,128.0,-12.4,11.1,4.48,165.7,171.1,3.81,3.26,1.0,3.0,197.44875,-23.3838889,22.035,-0.402,-41.42313900215549,37.080390558381126,18.29,30.0
01a58099o1005o,58099.64631725,19.85,0.75,1.01,o,8909.28,7669.23,-319.9,1254.6,195.0,12.8,12.7,3.95,155.6,160.6,3.66,3.16,1.0,3.0,197.44875,-23.3838889,21.992,-0.412,41.80775842553368,41.48113531283418,18.2,30.0
01a58099o1020o,58099.65332375,>18.69,0.00,3.0,o,8954.95,7728.80,2884.0,1748.2,-115.0,-73.0,19.0,3.71,128.0,123.2,3.46,2.92,1.0,3.0,197.44875,-23.3838889,21.898,-0.423,-229.43546806076193,59.71608072814351,17.93,30.0
