expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
01a58091o0903o,58091.61549065,18.40,0.56,1.47,o,483.60,8888.89,-289.3,3211.3,-84.0,51.7,35.1,2.24,176.7,179.7,4.08,3.18,1.0,3.0,197.44875,-23.3852777889,22.179,-0.404,158.29112709334373,107.46650988348867,18.01,30.0
01a58091o0916o,58091.62250605,17.69,0.30,3.12,o,454.62,8840.49,-538.8,3029.6,61.0,103.9,33.3,2.03,171.6,181.2,3.95,3.19,1.0,3.0,197.44875,-23.3852777889,22.193,-0.402,304.4262314653972,97.56875368428994,18.07,30.0
01a58091o0926o,58091.62712735,17.92,0.34,2.73,o,519.88,8912.05,2505.1,3346.9,410.0,90.3,33.1,2.04,169.1,170.6,3.81,3.08,1.0,3.0,197.44875,-23.3852777889,22.201,-0.413,247.08261427306087,90.5695961510334,18.14,30.0
01a58091o0932o,58091.62988005,>18.29,0.00,3.0,o,534.17,8790.47,4692.4,3674.0,61.0,-60.9,36.7,1.88,187.3,183.3,3.56,2.82,1.0,3.0,197.44875,-23.3852777889,22.209,-0.43,-143.7457933739635,86.62513328118983,18.25,30.0
01a58095o1005o,58095.64582645,>19.40,0.00,3.0,o,7105.12,8107.36,-978.3,1022.7,27.0,-140.4,11.3,3.79,182.7,181.1,3.77,3.15,1.0,3.0,197.44875,-23.3852777889,22.218,-0.405,-379.92489933462065,30.578001157273604,18.6,30.0
01a58095o1019o,58095.65233625,>19.29,0.00,3.0,o,7080.16,8055.11,-2280.8,1231.1,48.0,-144.5,14.0,5.09,183.9,185.4,3.62,2.95,1.0,3.0,197.44875,-23.3852777889,22.226,-0.417,-352.9207381350894,34.193012691288935,18.55,30.0
01a58095o1021o,58095.65326555,>19.10,0.00,3.0,o,7151.19,8129.60,-3585.9,1383.0,185.0,-179.1,16.6,4.24,188.4,188.4,3.51,3.06,1.0,3.0,197.44875,-23.3852777889,22.227,-0.417,-439.5445242487361,40.73947014254059,18.51,30.0
01a58095o1037o,58095.66064615,>17.22,0.00,3.0,o,7156.72,7994.52,6124.7,7475.3,470.0,48.7,103.4,1.33,214.3,209.8,3.56,2.79,1.0,3.0,197.44875,-23.3852777889,22.252,-0.425,108.80827061712822,231.0220776552578,17.73,30.0
01a58099o0990o,58099.63939555,17.79,0.14,7.27,o,8935.01,7720.61,-672.2,1239.0,237.0,82.9,11.4,4.20,162.6,171.1,3.81,3.26,1.0,3.0,197.44875,-23.3852777889,22.035,-0.402,276.9337276837654,38.082563276175215,18.29,30.0
01a58099o1005o,58099.64631725,>19.09,0.00,3.0,o,8909.21,7666.53,-319.9,1254.6,40.0,-53.3,12.5,3.92,159.4,160.6,3.66,3.16,1.0,3.0,197.44875,-23.3852777889,21.992,-0.412,-174.09011906882384,40.827889087435224,18.2,30.0
