Sim name,Distance,Volume,Time,Efficiency,Rate,Upper limit
1e5_18kzr_to10Mpc,10.0,3.811e-06,3.350,0.6337,123632.23,284354.14
1e5_18kzr_to20Mpc,20.0,3.068e-05,3.350,0.6254,15558.75,35785.13
1e5_18kzr_to30Mpc,30.0,1.033e-04,3.350,0.6129,4713.80,10841.74
1e5_18kzr_to40Mpc,40.0,2.455e-04,3.350,0.5969,2037.81,4686.96
1e5_18kzr_to50Mpc,50.0,4.788e-04,3.350,0.5796,1075.74,2474.19
1e5_18kzr_to60Mpc,60.0,8.284e-04,3.350,0.5636,639.39,1470.60
1e5_18kzr_to70Mpc,70.0,1.314e-03,3.350,0.5569,407.87,938.10
1e5_18kzr_to80Mpc,80.0,1.964e-03,3.350,0.5433,279.82,643.58
1e5_18kzr_to90Mpc,90.0,2.794e-03,3.350,0.5343,199.99,459.97
1e5_18kzr_to100Mpc,100.0,3.835e-03,3.350,0.5263,147.90,340.16
1e5_18kzr_to110Mpc,110.0,5.102e-03,3.350,0.5112,114.47,263.28
1e5_18kzr_to120Mpc,120.0,6.627e-03,3.350,0.5048,89.25,205.26
1e5_18kzr_to130Mpc,130.0,8.422e-03,3.350,0.4941,71.74,165.00
1e5_18kzr_to140Mpc,140.0,1.052e-02,3.350,0.4850,58.50,134.54
1e5_18kzr_to150Mpc,150.0,1.294e-02,3.350,0.4772,48.36,111.22
