expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
01a58091o0903o,58091.61549065,>18.03,0.00,3.0,o,480.57,8896.34,-615.8,3878.7,-46.0,0.3,35.1,1.88,176.7,178.2,4.08,3.18,1.0,3.0,197.45034,-23.38147,22.179,-0.404,0.9185171784913561,107.46650988348867,18.01,30.0
01a58091o0916o,58091.62250605,>18.11,0.00,3.0,o,451.60,8847.94,-770.0,3200.6,258.0,0.1,34.2,1.89,179.6,182.3,3.95,3.19,1.0,3.0,197.45034,-23.38147,22.193,-0.402,0.2929992603131831,100.2057470271086,18.07,30.0
01a58091o0926o,58091.62712735,>18.19,0.00,3.0,o,516.86,8919.50,1903.8,2892.9,162.0,-4.5,34.3,1.60,174.6,173.0,3.81,3.08,1.0,3.0,197.45034,-23.38147,22.201,-0.413,-12.313087090019646,93.85308604170528,18.14,30.0
01a58091o0932o,58091.62988005,>18.31,0.00,3.0,o,531.16,8797.92,1996.1,2999.5,58.0,-0.9,36.2,1.53,190.4,184.0,3.56,2.82,1.0,3.0,197.45034,-23.38147,22.209,-0.43,-2.124322069565963,85.44495435365319,18.25,30.0
01a58095o1005o,58095.64582645,19.27,0.39,2.34,o,7102.42,8114.80,-885.1,883.7,189.0,26.2,11.2,3.73,180.1,181.8,3.77,3.15,1.0,3.0,197.45034,-23.38147,22.218,-0.405,70.8976664000503,30.307399377120735,18.6,30.0
01a58095o1019o,58095.65233625,>19.24,0.00,3.0,o,7077.46,8062.55,-1922.2,1335.0,127.0,9.0,14.7,4.25,183.8,186.0,3.62,2.95,1.0,3.0,197.45034,-23.38147,22.226,-0.417,21.98122244440003,35.90266332585338,18.55,30.0
01a58095o1021o,58095.65326555,>19.12,0.00,3.0,o,7148.49,8137.04,-2643.4,1421.1,163.0,1.9,16.3,4.28,183.2,188.1,3.51,3.06,1.0,3.0,197.45034,-23.38147,22.227,-0.417,4.662951401857055,40.003214658036846,18.51,30.0
01a58095o1037o,58095.66064615,>17.28,0.00,3.0,o,7154.02,8001.96,4743.1,7579.2,-121.0,-42.8,98.3,1.47,217.4,209.3,3.56,2.79,1.0,3.0,197.45034,-23.38147,22.252,-0.425,-95.62615980314347,219.6273716974066,17.73,30.0
01a58099o0990o,58099.63939555,>19.16,0.00,3.0,o,8932.35,7728.08,-1691.0,1391.2,159.0,-51.4,11.4,3.42,165.0,171.0,3.81,3.26,1.0,3.0,197.45034,-23.38147,22.035,-0.402,-171.70559231538647,38.082563276175215,18.29,30.0
01a58099o1005o,58099.64631725,19.77,0.71,1.08,o,8906.56,7673.99,-2015.8,1230.1,136.0,13.8,12.8,3.40,156.8,161.0,3.66,3.16,1.0,3.0,197.45034,-23.38147,21.992,-0.412,45.073989552528495,41.80775842553368,18.2,30.0
01a58099o1020o,58099.65332375,>18.65,0.00,3.0,o,8952.23,7733.56,3361.8,1844.8,119.0,-32.1,19.8,2.90,123.8,123.0,3.46,2.92,1.0,3.0,197.45034,-23.38147,21.898,-0.423,-100.88874691438986,62.23044202196008,17.93,30.0
01a58099o1031o,58099.65844035,18.15,0.61,1.33,o,8963.93,7603.80,-604.3,3949.5,492.0,67.2,50.6,1.63,145.8,149.9,3.51,3.01,1.0,3.0,197.45034,-23.38147,22.005,-0.418,199.21481405744223,150.00401177539547,17.61,30.0
01a58103o0839o,58103.63768035,>19.88,0.00,3.0,o,9039.45,8620.04,1496.0,657.4,141.0,-43.4,6.8,4.40,184.4,183.4,4.02,3.15,1.0,3.0,197.45034,-23.38147,22.216,-0.391,-123.85258677822218,19.405474426080893,18.93,30.0
01a58103o0856o,58103.64550535,19.63,0.37,2.48,o,9010.69,8560.80,-1747.9,581.7,191.0,16.6,6.7,3.65,178.0,183.0,4.13,3.37,1.0,3.0,197.45034,-23.38147,22.224,-0.379,51.1171681024898,20.631628089559136,18.89,30.0
01a58103o0868o,58103.65103505,19.64,0.40,2.25,o,9078.04,8623.66,631.5,616.4,223.0,15.5,6.9,5.17,173.3,174.1,4.27,3.45,1.0,3.0,197.45034,-23.38147,22.226,-0.38,50.472801798617304,22.468537574868353,18.8,30.0
01a58103o0882o,58103.65753935,>19.53,0.00,3.0,o,9088.28,8489.12,3337.6,900.5,204.0,8.3,8.4,4.94,177.3,172.9,4.17,3.45,1.0,3.0,197.45034,-23.38147,22.232,-0.38,26.24895314823323,26.5652055958023,18.63,30.0
01a58111o0917o,58111.60865415,>20.01,0.00,3.0,o,6905.86,7438.88,-1892.5,590.1,201.0,-28.5,6.4,8.14,177.5,183.5,3.83,3.12,1.0,3.0,197.45034,-23.38147,22.221,-0.412,-77.88915158582941,17.49089719822134,18.98,30.0
01a58111o0937o,58111.61781055,>20.10,0.00,3.0,o,6878.52,7378.92,-238.3,606.9,118.0,-30.9,7.3,9.04,181.6,184.0,3.48,2.79,1.0,3.0,197.45034,-23.38147,22.230,-0.426,-68.93196707864135,16.28489837132951,19.12,30.0
01a58111o0938o,58111.61826835,>20.04,0.00,3.0,o,6932.10,7454.75,-4277.0,598.3,175.0,-17.1,6.4,6.70,172.8,183.6,3.72,3.17,1.0,3.0,197.45034,-23.38147,22.230,-0.402,-45.31865976848277,16.96136973791168,18.99,30.0
01a58111o0950o,58111.62380105,>20.12,0.00,3.0,o,6940.74,7323.47,-2664.7,668.9,155.0,-8.2,6.8,8.55,178.6,184.3,3.53,2.92,1.0,3.0,197.45034,-23.38147,22.234,-0.423,-19.295238652642077,16.000929614386116,19.1,30.0
01a58115o0932o,58115.61560765,>20.02,0.00,3.0,o,9232.56,7869.00,462.7,626.4,166.0,-21.7,6.9,8.92,182.9,181.1,3.64,3.04,1.0,3.0,197.45034,-23.38147,22.230,-0.413,-54.51467739619419,17.334160093720733,19.08,30.0
01a58115o0947o,58115.62250005,>19.98,0.00,3.0,o,9205.81,7811.40,-886.0,583.6,211.0,5.1,6.8,7.64,172.7,179.4,3.73,3.15,1.0,3.0,197.45034,-23.38147,22.236,-0.409,13.479330036222096,17.972440048296132,19.05,30.0
01a58115o0961o,58115.62894435,>20.05,0.00,3.0,o,9271.20,7869.19,3204.0,514.0,169.0,-23.7,6.7,9.89,186.6,181.8,3.60,3.10,1.0,3.0,197.45034,-23.38147,22.238,-0.41,-59.44170881139196,16.80419616187031,19.07,30.0
01a58115o0976o,58115.63584575,>20.08,0.00,3.0,o,9280.77,7732.28,-1557.8,621.9,134.0,-21.5,6.2,9.84,180.4,183.0,3.59,3.28,1.0,3.0,197.45034,-23.38147,22.239,-0.405,-56.58293846493663,16.316940394539863,19.05,30.0
01a58119o0894o,58119.60228915,18.51,0.27,3.58,o,293.10,10058.10,6216.0,1527.0,336.0,61.5,17.2,1.95,216.3,204.3,3.59,2.87,1.0,3.0,197.45034,-23.38147,22.247,-0.429,143.72430140594332,40.196064783450815,18.33,30.0
