phase,g,gerr,r,rerr,i,ierr,c,cerr,o,oerr
-0.5,,,,,,,-9.80479995663981,1.0,-10.50579995663981,1.0
0.467,-16.00729995663981,0.02,-15.732299956639812,0.04,-15.73929995663981,0.03,-15.864799956639812,0.04,-15.735799956639811,0.05
0.696,,,,,-15.979299956639812,0.06,,,,
0.88,-15.95729995663981,0.08,-15.97229995663981,0.07,-15.799299956639809,0.05,-15.96479995663981,0.11,-15.88579995663981,0.09
1.218,-15.36729995663981,0.12,-15.40229995663981,0.03,,,-15.384799956639812,0.12,-15.36579995663981,0.03
1.4269999999999998,-14.75729995663981,0.04,-15.302299956639812,0.01,-15.369299956639809,0.05,-15.024799956639812,0.04,-15.335799956639809,0.05
1.505,,,,,,,,,,
1.686,,,,,-15.34929995663981,0.06,,,,
1.82,-14.13729995663981,0.17,-14.952299956639811,0.11,-14.89929995663981,0.14,-14.544799956639812,0.2,-14.925799956639812,0.18
2.211,-13.54729995663981,0.21,-14.49229995663981,0.07,-14.91929995663981,0.15,-14.014799956639811,0.22,-14.70579995663981,0.17
2.417,-13.22729995663981,0.11,-14.162299956639812,0.17,-14.639299956639812,0.04,-13.69479995663981,0.2,-14.395799956639811,0.17
2.676,,,,,-14.779299956639809,0.09,,,,
2.83,-12.987299956639811,0.16,-13.952299956639811,0.09,-14.59929995663981,0.07,-13.46479995663981,0.18,-14.27579995663981,0.11
3.216,,,-13.65229995663981,0.13,-14.41929995663981,0.2,,,-14.035799956639812,0.24
3.412,-12.287299956639812,0.16,-13.482299956639812,0.02,-14.18929995663981,0.01,-12.884799956639812,0.16,-13.835799956639809,0.02
3.6710000000000003,,,,,,,,,,
4.14,,,-12.99229995663981,0.31,,,,,,
4.402,-11.837299956639812,0.22,-12.76229995663981,0.05,-13.709299956639809,0.04,-12.294799956639812,0.23,-13.235799956639811,0.06
5.4,,,-12.502299956639812,0.24,-13.66929995663981,0.18,,,-13.085799956639809,0.3
6.4,-11.337299956639812,0.52,-12.342299956639811,0.35,,,-11.834799956639811,0.63,,
7.4,-10.13729995663981,0.34,-12.06229995663981,0.11,-12.679299956639811,0.05,-11.09479995663981,0.36,-12.36579995663981,0.12
8.4,,,-11.342299956639811,0.18,-12.499299956639812,0.06,,,-11.91579995663981,0.19
9.4,,,-11.092299956639811,0.04,-11.84929995663981,0.06,-10.60479995663981,1.0,-11.465799956639811,0.07
10.4,,,-10.842299956639811,0.07,-10.839299956639811,0.1,,,-10.835799956639809,0.12
11.3,-9.317299956639811,0.2,-10.29229995663981,0.2,-10.71929995663981,0.2,-9.80479995663981,0.28,-10.50579995663981,0.28
12.31,,,,,,,,,,
13.21,,,,,,,,,,
14.32,,,,,,,,,,
15.3,,,,,,,,,,
17.28,,,,,,,,,,
18.26,,,,,,,,,,
21.23,,,,,,,,,,
