phase,g,gerr,r,rerr,i,ierr,c,cerr,o,oerr
-0.500,NULL,NULL,NULL,NULL,NULL,NULL,23.55,1.00,22.75,1.00
0.467,17.41,0.02,17.56,0.04,17.48,0.03,17.49,0.04,17.52,0.05
0.696,NULL,NULL,NULL,NULL,17.24,0.06,NULL,NULL,NULL,NULL
0.880,17.46,0.08,17.32,0.07,17.42,0.05,17.39,0.11,17.37,0.09
1.218,18.05,0.12,17.89,0.03,NULL,NULL,17.97,0.12,17.89,0.03
1.427,18.66,0.04,17.99,0.01,17.85,0.05,18.33,0.04,17.92,0.05
1.505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.686,NULL,NULL,NULL,NULL,17.87,0.06,NULL,NULL,NULL,NULL
1.820,19.28,0.17,18.34,0.11,18.32,0.14,18.81,0.20,18.33,0.18
2.211,19.87,0.21,18.80,0.07,18.30,0.15,19.34,0.22,18.55,0.17
2.417,20.19,0.11,19.13,0.17,18.58,0.04,19.66,0.20,18.86,0.17
2.676,NULL,NULL,NULL,NULL,18.44,0.09,NULL,NULL,NULL,NULL
2.830,20.43,0.16,19.34,0.09,18.62,0.07,19.89,0.18,18.98,0.11
3.216,NULL,NULL,19.64,0.13,18.80,0.20,NULL,NULL,19.22,0.24
3.412,21.13,0.16,19.81,0.02,19.03,0.01,20.47,0.16,19.42,0.02
3.671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4.140,NULL,NULL,20.30,0.31,NULL,NULL,NULL,NULL,NULL,NULL
4.402,21.58,0.22,20.53,0.05,19.51,0.04,21.06,0.23,20.02,0.06
5.400,NULL,NULL,20.79,0.24,19.55,0.18,NULL,NULL,20.17,0.30
6.400,22.08,0.52,20.95,0.35,NULL,NULL,21.52,0.63,NULL,NULL
7.400,23.28,0.34,21.23,0.11,20.54,0.05,22.26,0.36,20.89,0.12
8.400,NULL,NULL,21.95,0.18,20.72,0.06,NULL,NULL,21.34,0.19
9.400,NULL,NULL,22.20,0.04,21.37,0.06,22.75,1.00,21.79,0.07
10.400,NULL,NULL,22.45,0.07,22.38,0.10,NULL,NULL,22.42,0.12
11.300,24.10,0.20,23.00,0.20,22.50,0.20,23.55,0.28,22.75,0.28
12.310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13.210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14.320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15.300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17.280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18.260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
